Education Level,Job Title,Years of Experience,Salary
Master,Back end Developer,2,70000
Master,Front end Developer,8,107895
Bachelor,Operations Manager,5,70000
Master,Marketing Manager,9,135000
Bachelor,Full Stack Engineer,8,145000
PhD,Data Scientist,7,185000
Master,Director of HR,14,140000
Master,Data Scientist,6,180000
Master,Director of HR,10,105000
Bachelor,Financial Analyst,11,150000
Bachelor,Senior Operations Coordinator,7,90000
Bachelor,Back end Developer,2,64182
Master,Back end Developer,9,124141
Bachelor,Web Developer,4,65000
PhD,Software Engineer Manager,18,195000
Bachelor,Data Analyst,2,95000
PhD,Software Engineer Manager,15,145052
Master,Senior Project Engineer,7,135000
Master,Front end Developer,8,106492
Master,Marketing Coordinator,8,85000
Master,Product Manager,14,180000
High School,Receptionist,0,25000
PhD,Data Scientist,6,100000
Bachelor,Graphic Designer,1,45000
Bachelor,Full Stack Engineer,7,130000
High School,Junior Sales Associate,1,25000
Bachelor,Sales Representative,1,35000
PhD,Research Scientist,10,150000
PhD,Senior Project Engineer,13,185000
Master,Senior Software Engineer,7,100000
Bachelor,Senior Software Engineer,20,139398
Master,Data Analyst,9,120000
Master,Senior Software Engineer,22,182506
Bachelor,Product Designer,3,60000
Master,Digital Marketing Manager,3,50000
Master,Full Stack Engineer,4,91062
High School,Junior Sales Representative,0,25000
Bachelor,Product Manager,7,120000
Bachelor,Back end Developer,2,65000
PhD,Sales Director,10,155000
Master,Full Stack Engineer,7,108799
PhD,Data Scientist,9,140000
Master,Content Marketing Manager,16,160000
Master,Marketing Coordinator,11,120000
Master,Data Analyst,8,100000
Master,Product Manager,7,110000
High School,Junior Sales Representative,0,25000
High School,Junior HR Generalist,1,32000
PhD,Software Engineer Manager,17,195000
Bachelor,Human Resources Manager,9,99000
Bachelor,Software Engineer,5,90000
PhD,Senior Data Scientist,12,170000
Bachelor,Software Engineer,8,190000
PhD,Senior Project Engineer,13,185000
Bachelor,Junior Marketing Manager,4,57000
Master,Human Resources Manager,13,140000
High School,Sales Associate,0,25000
Bachelor,Front End Developer,4,80000
Bachelor,Sales Director,9,140000
Bachelor,Junior HR Generalist,2,42000
Master,Human Resources Coordinator,3,50000
Master,Data Scientist,6,180000
Bachelor,Graphic Designer,2,50000
Bachelor,Social Media Manager,3,55000
PhD,Software Engineer Manager,22,178684
Bachelor,Data Analyst,2,110000
PhD,Senior Research Scientist,10,130000
Bachelor,Data Analyst,3,120000
PhD,Senior Project Engineer,13,185000
Master,Data Scientist,6,150000
Master,Back end Developer,8,140000
Bachelor,Software Engineer,10,190000
Master,Senior Project Engineer,5,100867
Bachelor,Software Engineer,3,80000
Bachelor,Office Manager,15,65000
Bachelor,Software Engineer,8,190000
Bachelor,Content Marketing Manager,12,120000
Master,Marketing Director,14,195000
Master,Marketing Manager,12,150000
High School,Junior Sales Associate,2,35000
Master,Marketing Manager,9,130000
Bachelor,Software Engineer,4,140000
Master,Senior Product Manager,10,120000
Master,Senior Data Scientist,9,125000
Master,Digital Marketing Manager,14,140000
Bachelor,Sales Executive,1,35000
High School,Sales Manager,2,40000
PhD,Data Scientist,9,195000
Master,Marketing Manager,6,77000
Master,Human Resources Manager,15,152000
Bachelor,Marketing Coordinator,2,41000
Bachelor,Data Analyst,3,120000
Bachelor,Software Engineer,8,190000
Bachelor,Junior Marketing Manager,4,57000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Product Designer,3,60000
Master,Director,20,200000
Bachelor,Back end Developer,4,72389
Bachelor,Product Manager,1,60000
Master,Senior Project Engineer,12,130356
Master,Software Engineer,2,60000
PhD,Software Engineer Manager,1,119836
PhD,Research Director,10,150000
Bachelor,Software Developer,3,60000
Bachelor,Sales Manager,11,160000
Master,Senior Software Engineer,8,105000
Master,Senior Software Engineer,11,160000
Master,Data Scientist,9,185000
Master,Data Analyst,9,120000
Bachelor,Data Analyst,2,110000
Bachelor,Human Resources Manager,6,75000
Master,Marketing Manager,10,110000
Master,Marketing Manager,11,117000
Bachelor,Software Engineer,5,160000
Master,Back end Developer,8,140000
Bachelor,Software Engineer,3,70000
Bachelor,Marketing Analyst,4,70000
Bachelor,Digital Marketing Manager,6,95000
Bachelor,Digital Marketing Specialist,3,60000
Master,Data Scientist,6,150000
Master,Software Engineer,9,125000
Bachelor,Data Analyst,2,100000
Bachelor,Software Engineer,5,90000
Master,Marketing Manager,6,77000
Bachelor,Software Engineer,4,65000
Bachelor,Software Engineer,3,70000
Master,Human Resources Manager,13,140000
PhD,Senior Research Scientist,11,135000
Bachelor,Operations Manager,9,110000
Master,Full Stack Engineer,5,102828
Bachelor,Marketing Manager,7,100000
Bachelor,Data Analyst,1,90000
High School,Senior Project Engineer,31,166109
Bachelor,Marketing Manager,3,65000
Master,Software Engineer Manager,12,160000
Bachelor,Financial Manager,16,200000
Bachelor,Software Engineer,4,140000
Master,Senior Software Engineer,27,186794
Master,Marketing Director,14,190000
Bachelor,Software Engineer,3,80000
Master,Human Resources Coordinator,3,49000
Bachelor,Data Analyst,11,160000
Bachelor,Data Analyst,2,110000
High School,Junior Sales Associate,1,25000
PhD,Senior Project Engineer,16,190000
Master,Senior Software Engineer,19,152203
Master,Senior Marketing Analyst,9,95000
Master,Senior Software Engineer,21,180367
PhD,Senior Software Engineer,12,160000
Bachelor,Back end Developer,10,126520
PhD,Marketing Manager,9,95000
Master,Senior Data Scientist,8,120000
PhD,Data Scientist,18,180000
Bachelor,Software Developer,2,55000
Bachelor,Front end Developer,2,65000
Bachelor,Product Designer,3,60000
Master,Data Scientist,6,180000
Bachelor,Marketing Analyst,3,60000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Software Engineer Manager,8,135000
Bachelor,Sales Operations Manager,18,110000
PhD,Director of HR,13,130000
Master,Product Manager,14,180000
Bachelor,Sales Representative,1,35000
Bachelor,Marketing Analyst,4,75000
Master,Full Stack Engineer,6,110707
Bachelor,Data Analyst,2,95000
Bachelor,Software Engineer,3,70000
Master,Director of Business Development,19,170000
Master,Software Engineer,6,170000
High School,Sales Associate,1,30000
Master,Data Scientist,6,180000
High School,Sales Executive,4,55000
Bachelor,Data Analyst,1,90000
High School,Junior Sales Associate,1,26000
PhD,Senior Data Engineer,16,150000
PhD,Director of HR,13,135000
Bachelor,Sales Representative,1,35000
Bachelor,Software Engineer,5,150000
PhD,Senior Product Marketing Manager,17,170000
Master,Marketing Manager,13,130000
PhD,Software Engineer Manager,21,173582
Bachelor,Financial Manager,13,130000
Bachelor,Data Analyst,9,190000
Bachelor,Front end Developer,23,173851
Bachelor,Front end Developer,6,110000
Master,Back end Developer,1,60000
Master,Marketing Manager,7,90000
Master,Software Engineer Manager,22,183530
Bachelor,Director of Marketing,8,80000
Bachelor,Marketing Coordinator,3,55000
Bachelor,Junior Marketing Manager,6,72000
Bachelor,Data Analyst,3,130000
Master,Senior Software Engineer,23,185038
PhD,Senior Product Marketing Manager,17,170000
PhD,Research Director,11,170000
Bachelor,Data Analyst,2,100000
High School,Junior Sales Representative,0,25000
PhD,Senior Data Scientist,18,160000
Bachelor,Marketing Analyst,4,75000
Bachelor,Software Engineer,4,75000
Bachelor,Financial Manager,15,200000
PhD,Software Engineer Manager,25,181714
Bachelor,Data Analyst,1,90000
PhD,Senior Human Resources Manager,15,150000
Bachelor,Financial Manager,16,215000
PhD,Senior Project Engineer,16,190000
Bachelor,Data Analyst,2,95000
PhD,Director of HR,13,135000
Master,Web Developer,3,60000
Bachelor,Product Manager,8,170000
PhD,Senior Product Marketing Manager,10,100000
Bachelor,Software Engineer,5,90000
High School,Sales Manager,2,40000
High School,Junior Sales Associate,1,30000
Bachelor,Director of Marketing,8,80000
PhD,Software Engineer Manager,16,190000
Bachelor,Social Media Manager,3,55000
Master,Marketing Manager,9,130000
Master,Senior Product Marketing Manager,18,180000
Master,Senior Software Engineer,12,170000
Bachelor,Software Engineer,4,65000
Master,Senior Product Marketing Manager,19,190000
Master,Back end Developer,6,130000
PhD,Senior Product Marketing Manager,9,95000
Bachelor,Product Designer,2,55000
Bachelor,Senior Sales Representative,12,90000
Bachelor,Software Engineer,4,70000
High School,Receptionist,0,25000
Bachelor,Data Scientist,8,180000
Bachelor,Operations Manager,6,75000
Master,Product Manager,14,180000
Master,Full Stack Engineer,19,177347
High School,Junior Sales Associate,1,30000
Bachelor,Marketing Coordinator,4,58000
Bachelor,Marketing Manager,3,65000
Bachelor,Project Manager,6,115000
Bachelor,Front end Developer,11,136662
Bachelor,Marketing Coordinator,5,90000
Bachelor,Software Engineer Manager,11,170000
Master,Public Relations Manager,10,90000
High School,Sales Manager,2,40000
Bachelor,Senior Project Engineer,20,143084
Master,Product Manager,14,180000
Bachelor,Senior Marketing Analyst,8,85000
PhD,Data Scientist,14,140000
Bachelor,Software Developer,6,85000
Master,Senior Software Engineer,11,170000
Master,Marketing Manager,9,130000
Master,Back end Developer,3,90000
Bachelor,Marketing Coordinator,3,55000
Bachelor,Junior Marketing Manager,5,70000
Bachelor,Operations Manager,7,85000
Master,Senior Software Engineer,11,160000
Master,Software Engineer,2,60000
PhD,Data Scientist,9,145000
Master,Content Marketing Manager,5,70000
Bachelor,Junior Software Developer,2,37000
Bachelor,Product Manager,8,185000
Bachelor,Data Scientist,10,150000
Bachelor,Front end Developer,1,55000
PhD,Director of Data Science,18,210000
Bachelor,Back end Developer,5,100000
Master,Marketing Coordinator,11,120000
High School,Sales Associate,3,50000
Bachelor,Back end Developer,5,77766
Master,Director of HR,7,90000
PhD,Data Scientist,18,180000
Bachelor,Financial Manager,4,55000
Master,Financial Manager,8,120000
Bachelor,Front end Developer,2,65000
Bachelor,Senior Product Marketing Manager,5,85000
PhD,Data Scientist,12,130000
Bachelor,Sales Executive,1,35000
Bachelor,Software Engineer,5,160000
PhD,Marketing Manager,9,95000
PhD,Research Scientist,11,150000
Bachelor,Senior Operations Manager,12,110000
Master,Marketing Manager,9,130000
Master,Software Engineer,2,60000
Bachelor,Operations Manager,6,90000
Master,Marketing Director,14,180000
Bachelor,Digital Marketing Manager,4,60000
Bachelor,Marketing Coordinator,5,95000
Bachelor,Full Stack Engineer,6,115000
Master,Senior Software Engineer,7,100000
Master,Director of Marketing,16,160000
Bachelor,Senior Project Engineer,12,166375
Bachelor,Marketing Analyst,0,40000
Bachelor,Back end Developer,3,80000
Master,Software Engineer Manager,17,151670
Master,Data Analyst,1,100000
PhD,Senior Project Engineer,15,180000
Master,Senior Software Engineer,11,160000
Master,Full Stack Engineer,11,138859
Master,Data Analyst,9,120000
PhD,Senior Data Scientist,16,150000
Bachelor,Software Engineer,3,75000
PhD,Senior Project Engineer,19,200000
Bachelor,Front end Developer,3,80000
Bachelor,Marketing Coordinator,5,95000
PhD,Software Engineer Manager,21,174985
Master,Data Scientist,6,180000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Senior Project Engineer,23,181699
Bachelor,Junior Web Developer,2,45000
PhD,Data Scientist,18,182000
Bachelor,Software Engineer,8,180000
Bachelor,Software Developer,2,55000
Bachelor,Software Engineer,6,170000
Bachelor,Junior Sales Representative,4,55000
Bachelor,Web Developer,4,65000
PhD,Senior Project Engineer,14,190000
Bachelor,Junior Account Manager,5,55000
Master,Senior Software Engineer,23,174336
Bachelor,Software Developer,2,55000
High School,Junior Sales Associate,1,25000
Bachelor,Data Analyst,9,195000
Bachelor,Operations Manager,8,104000
PhD,Data Scientist,16,162000
PhD,Director of Data Science,18,210000
Master,Junior UX Designer,1,45000
Master,Web Developer,7,85000
PhD,Sales Director,10,155000
High School,Sales Manager,2,40000
Bachelor,Financial Manager,16,200000
Master,Full Stack Engineer,5,105000
Bachelor,Marketing Analyst,4,70000
Master,Software Engineer Manager,19,163780
PhD,Senior Project Engineer,13,185000
Bachelor,Product Designer,3,60000
Master,Senior Software Engineer,19,185000
Bachelor,Marketing Manager,7,100000
PhD,Senior Human Resources Manager,15,150000
Bachelor,Product Manager,7,120000
Bachelor,Data Analyst,3,130000
Bachelor,Product Designer,2,55000
Bachelor,Content Marketing Manager,7,90000
Bachelor,Junior Data Analyst,2,50000
Bachelor,Software Engineer,4,70000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Data Analyst,2,115000
Master,Director of Marketing,16,160000
Bachelor,Back end Developer,14,136449
Bachelor,Operations Manager,6,75000
Master,Senior Project Engineer,11,170000
Master,Junior HR Generalist,1,32000
PhD,Director of HR,13,135000
Bachelor,Back end Developer,4,95000
PhD,Senior Research Scientist,10,130000
Bachelor,Product Manager,7,120000
Bachelor,Back end Developer,5,100000
Bachelor,Software Engineer,1,60000
Bachelor,Human Resources Coordinator,4,55000
PhD,Director of Data Science,16,200000
Bachelor,Financial Manager,11,110000
Bachelor,Product Designer,2,55000
PhD,Data Scientist,16,160000
Master,Senior Human Resources Manager,6,80000
PhD,Senior Project Engineer,14,190000
Bachelor,Software Engineer,4,140000
Bachelor,Junior Marketing Manager,4,57000
Bachelor,Marketing Analyst,2,50000
PhD,Data Scientist,13,140000
Master,Marketing Manager,20,204000
PhD,Senior Research Scientist,12,140000
PhD,Research Director,11,170000
High School,Receptionist,0,25000
Bachelor,Data Analyst,2,110000
PhD,Software Engineer Manager,14,180000
PhD,Research Scientist,12,170000
Bachelor,Marketing Manager,3,65000
Bachelor,Software Developer,1,45000
Bachelor,Software Developer,5,80000
PhD,Software Engineer Manager,17,195000
PhD,Research Scientist,13,160000
Bachelor,Product Manager,7,120000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Data Analyst,11,160000
Bachelor,Product Designer,2,50000
PhD,Senior Project Engineer,19,200000
PhD,Software Engineer Manager,18,210000
Bachelor,Front end Developer,1,55000
Bachelor,Marketing Analyst,2,50000
High School,Sales Associate,3,50000
Master,Senior Product Marketing Manager,19,190000
Master,Director of HR,12,120000
Master,Marketing Director,14,190000
Master,Financial Manager,7,120000
Master,Content Marketing Manager,4,80000
Master,Product Manager,7,110000
Master,Senior Software Engineer,6,114290
PhD,Software Engineer Manager,17,195000
Bachelor,Data Analyst,11,160000
Master,Senior Software Engineer,6,108607
Master,Marketing Director,14,190000
Master,Software Engineer,2,60000
PhD,Director of Data Science,18,210000
Bachelor,Back end Developer,8,140000
Bachelor,Marketing Manager,9,130000
Bachelor,Data Analyst,9,190000
Master,Senior Software Engineer,7,100000
Master,Software Engineer,2,60000
Bachelor,Front end Developer,6,110000
Bachelor,Sales Representative,1,35000
PhD,Senior Project Engineer,14,180000
Bachelor,Marketing Analyst,4,75000
Master,Marketing Manager,11,117000
Master,Content Marketing Manager,4,80000
Bachelor,Software Engineer,4,140000
Master,Front end Developer,3,73640
Bachelor,Software Engineer,5,160000
PhD,Software Engineer Manager,17,195000
Bachelor,Software Engineer,3,80000
Bachelor,Product Manager,12,150000
Bachelor,Senior Operations Manager,10,120000
Master,Marketing Manager,20,204000
Bachelor,Data Analyst,2,110000
Bachelor,Marketing Coordinator,4,58000
Bachelor,Software Engineer,4,140000
PhD,Data Scientist,7,170000
Master,Marketing Coordinator,8,85000
PhD,Director of Data Science,18,210000
Master,Marketing Manager,9,130000
Master,Financial Manager,7,120000
PhD,Senior Project Engineer,16,190000
Master,Data Analyst,9,120000
Bachelor,Software Engineer,3,80000
PhD,Director of Data Science,16,200000
Bachelor,Software Engineer,3,80000
Bachelor,Data Analyst,2,110000
Bachelor,Marketing Analyst,4,70000
High School,Junior Sales Associate,2,35000
Master,Senior Software Engineer,21,187081
Bachelor,Web Developer,5,70000
PhD,Senior Project Engineer,21,181285
Bachelor,Sales Director,9,140000
Bachelor,Product Designer,2,55000
Bachelor,Junior Advertising Coordinator,3,45000
High School,Sales Associate,1,35000
Bachelor,Front end Developer,9,117904
Bachelor,Marketing Analyst,4,75000
Bachelor,Software Engineer,5,90000
High School,Junior HR Generalist,2,35000
Bachelor,Marketing Analyst,4,70000
Bachelor,Software Developer,3,61000
High School,Sales Manager,2,40000
